@relation LED_Drift

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 {0,1,2,3,4,5,6,7,8,9}

@data
1,0,1,1,1,0,1,2
1,1,0,1,1,1,1,6
1,0,1,1,0,1,1,3
0,0,1,0,0,1,0,1
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,0,1,0,0,1,0,7
1,1,1,0,1,1,1,0
1,1,1,1,0,1,1,9
1,1,0,1,1,1,1,6
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,1,0,1,1,9
1,0,1,0,0,1,0,7
1,1,1,0,1,1,1,0
1,1,1,1,0,1,1,9
1,0,1,1,0,1,1,3
0,0,1,0,0,1,0,1
1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,8
1,1,1,0,1,1,1,0
1,1,0,1,0,1,1,5
0,0,1,0,0,1,0,1
1,0,1,1,1,0,1,2
1,1,1,1,0,1,1,9
1,1,1,1,1,1,1,8
0,0,1,0,0,1,0,1
1,1,1,0,1,1,1,0
1,1,0,1,1,1,1,6
0,0,1,0,0,1,0,1
0,1,1,1,0,1,0,4
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,8
0,0,1,0,0,1,0,1
1,0,1,1,1,0,1,2
1,1,1,1,0,1,1,9
1,1,0,1,0,1,1,5
1,1,0,1,1,1,1,6
0,1,1,1,0,1,0,4
1,1,1,1,0,1,1,9
1,1,1,1,1,1,1,8
1,1,0,1,0,1,1,5
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,0,1,0,0,1,0,7
0,0,1,0,0,1,0,1
1,1,1,1,0,1,1,9
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,1,0,1,1,1,1,6
1,1,1,1,0,1,1,9
1,1,0,1,1,1,1,6
0,0,1,0,0,1,0,1
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,8
1,1,0,1,1,1,1,6
1,1,1,0,1,1,1,0
1,1,1,1,0,1,1,9
0,1,1,1,0,1,0,4
1,1,0,1,0,1,1,5
1,0,1,0,0,1,0,7
1,0,1,1,1,0,1,2
1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,8
1,1,1,0,1,1,1,0
0,0,1,0,0,1,0,1
0,1,1,1,0,1,0,4
1,0,1,1,0,1,1,3
1,1,1,1,0,1,1,9
1,1,0,1,1,1,1,6
1,0,1,1,0,1,1,3
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,1,1,0,1,1,1,0
1,0,1,1,1,0,1,2
0,1,1,1,0,1,0,4
1,1,1,1,0,1,1,9
1,1,0,1,0,1,1,5
1,0,1,0,0,1,0,7
0,0,1,0,0,1,0,1
1,0,1,0,0,1,0,7
1,1,1,0,1,1,1,0
1,0,1,0,0,1,0,7
1,1,1,1,0,1,1,9
1,0,1,1,0,1,1,3
1,1,1,1,1,1,1,8
1,1,0,1,0,1,1,5
1,0,1,1,0,1,1,3
1,0,1,0,0,1,0,7
1,1,1,1,1,1,1,8
1,0,1,0,0,1,0,7
1,0,1,1,1,0,1,2
1,0,1,0,0,1,0,7
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
1,0,1,1,1,0,1,2
1,1,0,1,1,1,1,6
1,0,1,1,1,0,1,2
1,1,1,1,1,1,1,8
1,1,1,0,1,1,1,0
1,1,0,1,1,1,1,6
1,1,1,1,0,1,1,9
1,0,1,0,0,1,0,7
0,0,1,0,0,1,0,1
0,1,1,1,0,1,0,4
1,0,1,1,0,1,1,3
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,0,1,1,1,0,1,2
1,0,1,1,0,1,1,3
1,1,1,1,0,1,1,9
1,0,1,1,1,0,1,2
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,0,1,1,1,1,6
0,0,1,0,0,1,0,1
1,1,0,1,0,1,1,5
0,0,1,0,0,1,0,1
1,0,1,1,1,0,1,2
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
0,0,1,0,0,1,0,1
1,1,1,1,1,1,1,8
1,1,1,0,1,1,1,0
0,0,1,0,0,1,0,1
1,1,0,1,0,1,1,5
1,1,1,1,1,1,1,8
1,1,1,0,1,1,1,0
0,0,1,0,0,1,0,1
1,0,1,0,0,1,0,7
1,1,0,1,1,1,1,6
1,0,1,1,0,1,1,3
0,1,1,1,0,1,0,4
1,1,0,1,1,1,1,6
1,0,1,1,1,0,1,2
1,1,1,1,1,1,1,8
1,0,1,1,1,0,1,2
0,1,1,1,0,1,0,4
1,1,0,1,1,1,1,6
1,1,1,1,0,1,1,9
1,1,0,1,0,1,1,5
1,0,1,1,0,1,1,3
1,1,1,1,1,1,1,8
1,0,1,1,1,0,1,2
1,1,1,1,1,1,1,8
0,1,1,1,0,1,0,4
1,0,1,0,0,1,0,7
1,0,1,1,0,1,1,3
1,1,1,1,0,1,1,9
1,1,0,1,0,1,1,5
0,1,1,1,0,1,0,4
1,1,1,0,1,1,1,0
0,0,1,0,0,1,0,1
1,0,1,0,0,1,0,7
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,0,1,1,0,1,1,3
1,0,1,0,0,1,0,7
1,1,1,1,0,1,1,9
1,1,1,0,1,1,1,0
1,0,1,1,1,0,1,2
1,1,0,1,1,1,1,6
1,0,1,1,0,1,1,3
1,1,0,1,0,1,1,5
1,0,1,1,0,1,1,3
0,1,1,1,0,1,0,4
1,0,1,1,0,1,1,3
0,1,1,1,0,1,0,4
1,1,1,1,0,1,1,9
1,1,0,1,1,1,1,6
1,1,0,1,0,1,1,5
1,1,0,1,1,1,1,6
1,1,1,1,0,1,1,9
1,1,1,0,1,1,1,0
0,1,1,1,0,1,0,4
1,0,1,1,1,0,1,2
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,1,0,1,1,3
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
1,0,1,1,0,1,1,3
0,0,1,0,0,1,0,1
1,0,1,0,0,1,0,7
1,1,1,1,0,1,1,9
1,0,1,0,0,1,0,7
1,1,0,1,0,1,1,5
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,0,1,1,0,1,1,3
1,1,1,1,1,1,1,8
1,0,1,1,1,0,1,2
1,1,0,1,1,1,1,6
1,1,1,1,1,1,1,8
1,1,1,1,0,1,1,9
1,1,1,0,1,1,1,0
1,1,0,1,0,1,1,5
1,0,1,0,0,1,0,7
1,0,1,1,1,0,1,2
1,1,0,1,0,1,1,5
1,1,1,1,0,1,1,9
0,1,1,1,0,1,0,4
1,1,1,0,1,1,1,0
1,1,1,1,0,1,1,9
1,1,1,1,1,1,1,8
0,1,1,1,0,1,0,4
1,1,1,1,0,1,1,9
1,0,1,1,0,1,1,3
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
0,0,1,0,0,1,0,1
1,0,1,1,1,0,1,2
1,1,1,1,0,1,1,9
0,1,1,1,0,1,0,4
1,0,1,0,0,1,0,7
0,1,1,1,0,1,0,4
1,0,1,0,0,1,0,7
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,1,1,1,1,1,8
0,1,1,1,0,1,0,4
0,0,1,0,0,1,0,1
1,1,1,1,1,1,1,8
1,0,1,1,0,1,1,3
0,0,1,0,0,1,0,1
1,1,1,1,0,1,1,9
1,0,1,0,0,1,0,7
1,1,0,1,1,1,1,6
1,1,1,1,1,1,1,8
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,1,1,1,0,1,1,9
1,1,0,1,1,1,1,6
1,1,1,1,1,1,1,8
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,1,1,1,8
1,1,1,1,0,1,1,9
1,1,1,0,1,1,1,0
1,0,1,1,1,0,1,2
1,0,1,0,0,1,0,7
1,1,1,0,1,1,1,0
0,0,1,0,0,1,0,1
1,1,0,1,1,1,1,6
0,1,1,1,0,1,0,4
1,1,0,1,0,1,1,5
0,1,1,1,0,1,0,4
1,1,1,0,1,1,1,0
1,1,0,1,1,1,1,6
1,0,1,1,1,0,1,2
1,1,0,1,0,1,1,5
1,0,1,1,0,1,1,3
0,1,1,1,0,1,0,4
1,0,1,1,0,1,1,3
0,0,1,0,0,1,0,1
1,0,1,1,1,0,1,2
1,1,1,0,1,1,1,0
0,0,1,0,0,1,0,1
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
0,0,1,0,0,1,0,1
1,1,0,1,0,1,1,5
1,0,1,1,0,1,1,3
0,0,1,0,0,1,0,1
1,0,1,1,0,1,1,3
1,1,1,0,1,1,1,0
1,1,1,1,0,1,1,9
1,1,0,1,1,1,1,6
1,0,1,1,1,0,1,2
1,1,1,1,1,1,1,8
1,1,0,1,0,1,1,5
1,1,1,1,1,1,1,8
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,1,1,1,1,1,1,8
0,0,1,0,0,1,0,1
1,0,1,0,0,1,0,7
1,1,0,1,1,1,1,6
1,1,1,1,0,1,1,9
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,0,1,1,9
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,1,0,1,1,1,1,6
1,1,1,0,1,1,1,0
1,0,1,1,1,0,1,2
1,0,1,1,0,1,1,3
0,0,1,0,0,1,0,1
1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,0,1,0,0,1,0,7
1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,8
1,0,1,0,0,1,0,7
1,1,1,1,0,1,1,9
1,0,1,0,0,1,0,7
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,1,1,1,0,1,1,9
1,1,0,1,1,1,1,6
1,1,1,1,0,1,1,9
1,0,1,0,0,1,0,7
1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,8
0,0,1,0,0,1,0,1
0,1,1,1,0,1,0,4
1,1,1,0,1,1,1,0
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,0,1,0,1,1,5
1,1,1,0,1,1,1,0
1,0,1,1,1,0,1,2
1,0,1,0,0,1,0,7
0,1,1,1,0,1,0,4
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,1,1,1,8
1,1,0,1,1,1,1,6
1,1,1,1,0,1,1,9
1,0,1,0,0,1,0,7
1,1,1,0,1,1,1,0
0,0,1,0,0,1,0,1
1,1,1,1,1,1,1,8
1,0,1,0,0,1,0,7
0,1,1,1,0,1,0,4
1,1,0,1,1,1,1,6
0,1,1,1,0,1,0,4
1,0,1,1,0,1,1,3
1,1,0,1,1,1,1,6
1,1,1,1,1,1,1,8
1,1,0,1,1,1,1,6
1,0,1,1,1,0,1,2
0,1,1,1,0,1,0,4
1,1,1,1,0,1,1,9
1,1,0,1,1,1,1,6
1,0,1,1,0,1,1,3
0,1,1,1,0,1,0,4
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
1,1,0,1,0,1,1,5
1,1,1,0,1,1,1,0
1,0,1,0,0,1,0,7
1,1,0,1,0,1,1,5
0,0,1,0,0,1,0,1
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
0,0,1,0,0,1,0,1
1,1,1,1,1,1,1,8
0,0,1,0,0,1,0,1
1,0,1,1,0,1,1,3
0,1,1,1,0,1,0,4
1,0,1,1,1,0,1,2
1,1,1,1,1,1,1,8
1,1,1,1,0,1,1,9
1,1,0,1,0,1,1,5
1,0,1,1,0,1,1,3
1,0,1,0,0,1,0,7
1,1,1,0,1,1,1,0
1,0,1,1,0,1,1,3
1,1,1,1,1,1,1,8
1,1,0,1,1,1,1,6
1,1,0,1,0,1,1,5
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,0,1,1,1,0,1,2
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,0,1,0,0,1,0,7
1,1,0,1,0,1,1,5
1,0,1,1,0,1,1,3
0,0,1,0,0,1,0,1
1,1,1,1,0,1,1,9
1,0,1,0,0,1,0,7
1,0,1,1,1,0,1,2
1,1,1,1,0,1,1,9
1,1,1,1,1,1,1,8
1,1,0,1,1,1,1,6
1,1,0,1,0,1,1,5
0,1,1,1,0,1,0,4
1,0,1,0,0,1,0,7
1,1,1,0,1,1,1,0
0,0,1,0,0,1,0,1
1,0,1,1,1,0,1,2
0,0,1,0,0,1,0,1
1,0,1,1,0,1,1,3
1,0,1,1,1,0,1,2
1,1,1,0,1,1,1,0
0,0,1,0,0,1,0,1
1,0,1,1,0,1,1,3
1,1,1,1,1,1,1,8
0,0,1,0,0,1,0,1
1,1,0,1,0,1,1,5
1,0,1,1,1,0,1,2
1,1,1,1,1,1,1,8
1,1,0,1,0,1,1,5
1,1,0,1,1,1,1,6
0,0,1,0,0,1,0,1
1,1,0,1,0,1,1,5
1,1,1,1,1,1,1,8
1,1,1,1,0,1,1,9
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
0,1,1,1,0,1,0,4
0,0,1,0,0,1,0,1
1,0,1,1,1,0,1,2
1,1,1,0,1,1,1,0
0,1,1,1,0,1,0,4
1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,8
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
1,1,1,0,1,1,1,0
1,1,0,1,0,1,1,5
1,1,1,1,0,1,1,9
1,1,0,1,1,1,1,6
1,0,1,1,0,1,1,3
1,0,1,1,1,0,1,2
0,0,1,0,0,1,0,1
1,1,0,1,0,1,1,5
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
1,1,1,0,1,1,1,0
0,0,1,0,0,1,0,1
0,1,1,1,0,1,0,4
1,1,1,1,1,1,1,8
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,1,1,0,1,1,9
1,0,1,1,0,1,1,3
0,1,1,1,0,1,0,4
0,0,1,0,0,1,0,1
1,1,0,1,0,1,1,5
1,1,1,0,1,1,1,0
1,0,1,0,0,1,0,7
1,1,1,1,0,1,1,9
1,1,1,1,1,1,1,8
1,0,1,1,0,1,1,3
1,1,1,1,1,1,1,8
1,1,1,1,0,1,1,9
0,0,1,0,0,1,0,1
1,1,1,1,0,1,1,9
0,0,1,0,0,1,0,1
1,0,1,1,0,1,1,3
1,0,1,0,0,1,0,7
1,1,0,1,1,1,1,6
1,1,1,0,1,1,1,0
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,1,1,1,1,1,8
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,0,1,0,0,1,0,7
1,1,0,1,0,1,1,5
1,1,1,1,0,1,1,9
0,1,1,1,0,1,0,4
1,1,1,1,1,1,1,8
1,1,1,1,0,1,1,9
0,0,1,0,0,1,0,1
0,1,1,1,0,1,0,4
1,1,0,1,0,1,1,5
1,0,1,1,0,1,1,3
1,1,1,1,0,1,1,9
1,0,1,1,1,0,1,2
1,0,1,0,0,1,0,7
1,1,0,1,0,1,1,5
1,1,0,1,1,1,1,6
0,1,1,1,0,1,0,4
1,1,0,1,1,1,1,6
0,0,1,0,0,1,0,1
1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,8
0,1,1,1,0,1,0,4
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
0,0,1,0,0,1,0,1
1,1,1,1,1,1,1,8
0,0,1,0,0,1,0,1
1,1,1,1,0,1,1,9
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,1,1,0,1,1,9
0,1,1,1,0,1,0,4
1,1,1,1,1,1,1,8
0,1,1,1,0,1,0,4
0,0,1,0,0,1,0,1
1,0,1,1,0,1,1,3
1,1,0,1,1,1,1,6
0,1,1,1,0,1,0,4
0,0,1,0,0,1,0,1
0,1,1,1,0,1,0,4
0,0,1,0,0,1,0,1
1,0,1,1,0,1,1,3
1,1,1,1,1,1,1,8
1,0,1,1,1,0,1,2
1,0,1,0,0,1,0,7
1,0,1,1,1,0,1,2
1,1,1,1,1,1,1,8
1,0,1,1,0,1,1,3
1,1,0,1,1,1,1,6
0,1,1,1,0,1,0,4
1,1,0,1,1,1,1,6
0,0,1,0,0,1,0,1
1,1,0,1,0,1,1,5
1,1,0,1,1,1,1,6
1,1,1,1,1,1,1,8
0,0,1,0,0,1,0,1
1,1,1,1,1,1,1,8
1,1,1,1,0,1,1,9
0,0,1,0,0,1,0,1
1,0,1,1,0,1,1,3
1,0,1,0,0,1,0,7
1,1,1,0,1,1,1,0
1,1,0,1,0,1,1,5
1,1,1,0,1,1,1,0
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,1,0,1,1,1,0
1,1,0,1,1,1,1,6
1,0,1,1,1,0,1,2
0,1,1,1,0,1,0,4
1,1,1,0,1,1,1,0
0,1,1,1,0,1,0,4
1,1,0,1,1,1,1,6
1,0,1,0,0,1,0,7
1,0,1,1,1,0,1,2
0,1,1,1,0,1,0,4
1,0,1,1,1,0,1,2
1,1,1,1,1,1,1,8
0,1,1,1,0,1,0,4
0,0,1,0,0,1,0,1
1,1,0,1,1,1,1,6
1,0,1,0,0,1,0,7
0,0,1,0,0,1,0,1
1,1,0,1,0,1,1,5
1,1,0,1,1,1,1,6
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,8
0,1,1,1,0,1,0,4
0,0,1,0,0,1,0,1
1,1,1,1,0,1,1,9
1,1,1,0,1,1,1,0
1,1,0,1,0,1,1,5
1,0,1,1,0,1,1,3
1,1,0,1,0,1,1,5
1,0,1,0,0,1,0,7
1,1,0,1,0,1,1,5
1,1,1,0,1,1,1,0
0,1,1,1,0,1,0,4
1,1,0,1,1,1,1,6
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,0,1,1,1,0
0,1,1,1,0,1,0,4
1,0,1,0,0,1,0,7
1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,8
1,0,1,0,0,1,0,7
0,1,1,1,0,1,0,4
1,1,1,0,1,1,1,0
1,1,1,1,0,1,1,9
1,1,0,1,1,1,1,6
0,0,1,0,0,1,0,1
1,0,1,1,0,1,1,3
1,1,0,1,1,1,1,6
1,1,0,1,0,1,1,5
1,1,1,1,1,1,1,8
1,1,1,0,1,1,1,0
1,0,1,0,0,1,0,7
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
0,0,1,0,0,1,0,1
1,0,1,1,1,0,1,2
0,1,1,1,0,1,0,4
1,1,1,0,1,1,1,0
0,1,1,1,0,1,0,4
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,1,0,1,0,1,1,5
1,1,1,1,1,1,1,8
1,0,1,1,1,0,1,2
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
1,0,1,1,0,1,1,3
1,1,1,1,1,1,1,8
1,0,1,1,1,0,1,2
1,1,0,1,1,1,1,6
1,0,1,1,0,1,1,3
1,1,0,1,1,1,1,6
1,0,1,0,0,1,0,7
1,0,1,1,1,0,1,2
1,1,1,1,0,1,1,9
0,0,1,0,0,1,0,1
1,1,1,0,1,1,1,0
1,0,1,0,0,1,0,7
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,1,0,1,1,1,1,6
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
0,0,1,0,0,1,0,1
1,0,1,1,0,1,1,3
1,1,1,1,0,1,1,9
0,1,1,1,0,1,0,4
1,1,0,1,0,1,1,5
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
0,1,1,1,0,1,0,4
1,1,1,1,1,1,1,8
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,0,1,1,1,0,1,2
0,0,1,0,0,1,0,1
1,1,1,0,1,1,1,0
1,1,1,1,0,1,1,9
0,1,1,1,0,1,0,4
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,1,1,1,0,1,1,9
1,1,0,1,1,1,1,6
0,1,1,1,0,1,0,4
1,0,1,0,0,1,0,7
1,1,1,1,0,1,1,9
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,1,0,1,2
1,1,1,1,0,1,1,9
1,0,1,0,0,1,0,7
1,1,0,1,1,1,1,6
1,1,1,1,1,1,1,8
1,0,1,0,0,1,0,7
1,1,1,1,1,1,1,8
1,0,1,0,0,1,0,7
1,1,0,1,0,1,1,5
0,0,1,0,0,1,0,1
1,1,0,1,0,1,1,5
0,0,1,0,0,1,0,1
0,1,1,1,0,1,0,4
0,0,1,0,0,1,0,1
0,1,1,1,0,1,0,4
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
1,1,0,1,1,1,1,6
1,0,1,1,0,1,1,3
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,1,1,1,6
0,0,1,0,0,1,0,1
1,0,1,1,0,1,1,3
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
0,1,1,1,0,1,0,4
1,1,1,1,1,1,1,8
1,0,1,1,1,0,1,2
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,0,1,1,1,0,1,2
1,0,1,1,0,1,1,3
1,1,0,1,1,1,1,6
1,0,1,1,1,0,1,2
1,1,1,0,1,1,1,0
1,0,1,0,0,1,0,7
1,0,1,1,1,0,1,2
1,1,1,0,1,1,1,0
0,1,1,1,0,1,0,4
1,1,0,1,1,1,1,6
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
1,1,0,1,1,1,1,6
1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,8
1,0,1,1,1,0,1,2
1,0,1,0,0,1,0,7
1,1,1,1,1,1,1,8
1,1,1,1,0,1,1,9
1,1,0,1,0,1,1,5
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,1,1,1,6
1,1,1,0,1,1,1,0
1,0,1,1,1,0,1,2
1,1,1,0,1,1,1,0
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,1,0,1,0,1,1,5
1,1,1,0,1,1,1,0
1,1,0,1,1,1,1,6
1,1,1,1,1,1,1,8
1,0,1,1,0,1,1,3
1,1,0,1,1,1,1,6
1,1,1,1,1,1,1,8
1,0,1,0,0,1,0,7
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,0,1,1,1,0
1,0,1,1,1,0,1,2
1,1,1,1,1,1,1,8
1,1,0,1,1,1,1,6
0,0,1,0,0,1,0,1
1,1,0,1,1,1,1,6
1,0,1,1,1,0,1,2
1,0,1,0,0,1,0,7
1,0,1,1,0,1,1,3
0,1,1,1,0,1,0,4
1,0,1,1,1,0,1,2
1,1,0,1,0,1,1,5
1,1,1,0,1,1,1,0
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,1,1,0,1,1,9
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,0,1,0,0,1,0,1
1,1,0,1,0,1,1,5
1,0,1,0,0,1,0,7
1,0,1,1,0,1,1,3
1,1,1,1,0,1,1,9
1,1,0,1,0,1,1,5
1,0,1,0,0,1,0,7
1,0,1,1,0,1,1,3
1,1,0,1,1,1,1,6
1,1,1,1,1,1,1,8
1,1,0,1,0,1,1,5
1,1,1,1,0,1,1,9
0,0,1,0,0,1,0,1
1,1,0,1,1,1,1,6
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,0,1,1,1,1,6
1,1,0,1,0,1,1,5
1,1,0,1,1,1,1,6
1,1,1,1,1,1,1,8
1,1,1,1,0,1,1,9
0,0,1,0,0,1,0,1
1,0,1,0,0,1,0,7
1,1,1,1,0,1,1,9
1,1,1,1,1,1,1,8
1,0,1,0,0,1,0,7
0,0,1,0,0,1,0,1
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,0,1,1,1,0,1,2
1,1,0,1,0,1,1,5
1,1,1,0,1,1,1,0
1,1,1,1,0,1,1,9
1,1,0,1,1,1,1,6
0,0,1,0,0,1,0,1
1,1,1,1,0,1,1,9
1,1,0,1,0,1,1,5
1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,8
1,1,1,0,1,1,1,0
0,0,1,0,0,1,0,1
1,1,0,1,0,1,1,5
1,0,1,1,1,0,1,2
1,1,1,0,1,1,1,0
1,1,0,1,1,1,1,6
1,1,1,0,1,1,1,0
1,0,1,0,0,1,0,7
1,1,1,1,0,1,1,9
1,0,1,1,0,1,1,3
1,1,0,1,1,1,1,6
0,1,1,1,0,1,0,4
1,0,1,1,1,0,1,2
0,1,1,1,0,1,0,4
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
0,0,1,0,0,1,0,1
1,0,1,1,1,0,1,2
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,0,1,1,1,1,6
1,1,1,0,1,1,1,0
1,0,1,1,1,0,1,2
1,1,0,1,0,1,1,5
0,1,1,1,0,1,0,4
1,1,0,1,0,1,1,5
1,1,1,0,1,1,1,0
1,0,1,0,0,1,0,7
1,1,1,0,1,1,1,0
1,0,1,0,0,1,0,7
0,0,1,0,0,1,0,1
1,0,1,1,0,1,1,3
1,1,1,0,1,1,1,0
1,0,1,1,0,1,1,3
1,0,1,1,1,0,1,2
1,0,1,1,0,1,1,3
0,1,1,1,0,1,0,4
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,1,1,1,6
1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,8
1,1,0,1,1,1,1,6
1,1,0,1,0,1,1,5
0,1,1,1,0,1,0,4
1,1,1,0,1,1,1,0
1,0,1,1,0,1,1,3
1,1,1,1,1,1,1,8
1,0,1,0,0,1,0,7
1,1,1,0,1,1,1,0
1,0,1,1,1,0,1,2
0,0,1,0,0,1,0,1
0,1,1,1,0,1,0,4
1,1,1,1,1,1,1,8
0,0,1,0,0,1,0,1
1,1,1,0,1,1,1,0
1,0,1,1,1,0,1,2
0,0,1,0,0,1,0,1
1,1,0,1,0,1,1,5
0,1,1,1,0,1,0,4
1,0,1,0,0,1,0,7
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,0,1,1,3
1,1,0,1,1,1,1,6
0,0,1,0,0,1,0,1
1,1,0,1,0,1,1,5
1,0,1,1,0,1,1,3
1,0,1,1,1,0,1,2
1,1,0,1,1,1,1,6
1,0,1,1,1,0,1,2
1,1,1,1,0,1,1,9
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
1,1,0,1,1,1,1,6
1,1,0,1,0,1,1,5
1,0,1,1,0,1,1,3
1,1,0,1,1,1,1,6
1,1,1,1,0,1,1,9
0,1,1,1,0,1,0,4
1,1,1,1,1,1,1,8
1,1,0,1,1,1,1,6
1,0,1,0,0,1,0,7
0,1,1,1,0,1,0,4
1,0,1,0,0,1,0,7
0,1,1,1,0,1,0,4
1,1,1,1,0,1,1,9
